Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Jennifer Jones,David O. Selznick,1949-01-01,1965-01-01,,United States,actor
Sarah Jessica Parker,Matthew Broderick,1997-01-01,,,United States,actor
Rainer Werner Fassbinder,Ingrid Caven,1970-08-26,1972-09-27,,West Germany,actor
Billy Bob Thornton,Angelina Jolie,2000-05-05,2003-05-27,divorce,United States,actor
Billy Bob Thornton,Angelina Jolie,2000-05-05,2003-05-27,divorce,United States,musician
Peter Lorre,Celia Lovsky,1934-01-01,1945-01-01,,United States,actor
Fergie,Josh Duhamel,2009-01-10,2017-01-01,divorce,United States,actor
Amber Heard,Johnny Depp,2015-02-03,2017-05-23,divorce,United States,actor
Charlie Chaplin,Lita Grey,1924-11-24,1927-08-01,divorce,United Kingdom,actor
Patricia Arquette,Thomas Jane,2006-06-25,2011-07-01,,United States,actor
Miley Cyrus,Liam Hemsworth,2018-12-23,2020-01-28,divorce,United States,actor
Tom Cruise,Nicole Kidman,1990-12-24,2001-01-01,,United States,actor
Rex Harrison,Lilli Palmer,1943-01-01,1957-01-01,divorce,United Kingdom of Great Britain and Ireland,actor
Judy Garland,Vincente Minnelli,1945-06-15,1951-01-01,divorce,United States,actor
Charlie Chaplin,Oona O'Neill,1943-01-01,1977-01-01,death of subject,United Kingdom of Great Britain and Ireland,actor
Hedy Lamarr,Teddy Stauffer,1951-01-01,1952-01-01,,United States,actor
Hedy Lamarr,Teddy Stauffer,1951-01-01,1952-01-01,,United States,musician
Geri Horner,Christian Horner,2015-05-15,,,United Kingdom,actor
Brenda Song,Macaulay Culkin,,,,United States,actor
Georges Méliès,Jehanne d'Alcy,1925-01-01,1938-01-21,,France,actor
Astrud Gilberto,João Gilberto,1960-01-01,1964-01-01,divorce,Brazil,musician
Leopold Mozart,Anna Maria Mozart,1747-11-21,,,Holy Roman Empire,musician
Paul Simon,Carrie Fisher,1983-08-16,1984-07-01,,United States,actor
Jane Birkin,John Barry,1965-10-16,1968-01-01,,France,actor
Catherine Zeta-Jones,Michael Douglas,2000-11-18,,,United Kingdom,actor
Catherine Zeta-Jones,Michael Douglas,2000-11-18,,,United Kingdom,musician
Sarah Brightman,Andrew Lloyd Webber,1984-03-22,1990-01-03,divorce,United Kingdom,actor
Sarah Brightman,Andrew Lloyd Webber,1984-03-22,1990-01-03,divorce,United Kingdom,musician
Mila Kunis,Ashton Kutcher,2015-01-01,,,United States,actor
