Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Nikita Mikhalkov,Tatiana Mikhalkova,,,,Russia,actor
Vasily Shukshin,Lidiya Fedoseyeva-Shukshina,1964-01-01,,,Soviet Union,actor
Richard Attenborough,Sheila Sim,1945-01-01,2014-08-24,death of subject,United Kingdom,actor
Chris Pratt,Katherine Schwarzenegger,2019-01-01,,,United States,actor
Domenico Modugno,Franca Gandolfi,,,,Italy,actor
Joan Fontaine,William Dozier,1946-05-02,1951-01-01,,United States,actor
Martin Scorsese,Julia Cameron,1976-01-01,1977-01-01,,Italy,actor
Sofia Rotaru,Anatoliy Yevdokymenko,,,,Soviet Union,actor
Flea,Frankie Rayder,2005-01-01,,,United States,actor
Flea,Frankie Rayder,2005-01-01,,,United States,musician
Joan Fontaine,William Dozier,1946-05-02,1951-01-01,,United Kingdom,actor
Henry Fonda,Afdera Franchetti,1957-01-01,1961-01-01,,United States,actor
Kira Muratova,Oleksandr Muratov,,,,Kingdom of Romania,actor
Bill Russell,Dorothy Anstett,1977-06-08,1980-01-01,,United States,actor
Ewan McGregor,Eve Mavrakis,1995-01-01,2020-01-01,,United States,actor
Ewan McGregor,Eve Mavrakis,1995-01-01,2020-01-01,,United Kingdom,actor
Flea,Frankie Rayder,2005-01-01,,,Australia,actor
Flea,Frankie Rayder,2005-01-01,,,Australia,musician
Mikhail Bulgakov,Tatjana Lappa,1913-01-01,1924-01-01,,Soviet Union,actor
Marcello Mastroianni,Flora Carabella,1950-08-12,1996-12-19,,Italy,actor
William Wyler,Margaret Tallichet,1938-10-23,1981-07-27,,United States,actor
Luc Besson,Virginie Silla,2004-08-01,,,France,actor
Mikhail Ulyanov,Alla Parfanyak,1959-01-01,,,Soviet Union,actor
Domenico Modugno,Franca Gandolfi,,,,Kingdom of Italy,actor
Colin Firth,Livia Giuggioli,1997-01-01,2019-01-01,marital separation,United Kingdom,actor
Jane Wyman,Fred Karger,1961-03-11,1965-03-09,divorce,United States,actor
William Wyler,Margaret Tallichet,1938-10-23,1981-07-27,,Switzerland,actor
Serena Williams,Alexis Ohanian,2017-01-01,,,United States,actor
Ani Lorak,Yuriy Falyosa,,,,Ukraine,actor
Olivia Wilde,Tao Ruspoli,2003-06-07,2011-09-29,divorce,United States,actor
Michèle Morgan,William Marshall,1942-01-01,1949-01-01,divorce,France,actor
Mickey Rooney,Carolyn Mitchell,1958-12-01,1966-01-31,,United States,actor
Mikhail Bulgakov,Tatjana Lappa,1913-01-01,1924-01-01,,Russian Empire,actor
Ingmar Bergman,Else Fisher,1943-03-25,1945-01-01,,Sweden,actor
Marcello Mastroianni,Flora Carabella,1950-08-12,1996-12-19,,Kingdom of Italy,actor
Olga Korbut,Leonid Bortkevich,,,,Soviet Union,actor
John Barrymore,Katherine Corri Harris,1910-01-01,1917-01-01,,United States,actor
Cate Blanchett,Andrew Upton,1997-01-01,,,United States,actor
Viktor Tsoi,Marianna Tsoi,,,,Soviet Union,actor
Jack Black,Tanya Haden,2006-03-14,,,United States,actor
Colin Firth,Livia Giuggioli,1997-01-01,2019-01-01,marital separation,Italy,actor
Sean Bean,Abigail Cruttenden,1997-11-22,2000-07-01,divorce,United Kingdom,actor
Jane Wyman,Fred Karger,1952-11-01,1955-12-30,divorce,United States,actor
Kseniya Sobchak,Konstantin Bogomolov,2019-09-13,,,Israel,actor
Walter Matthau,Carol Grace,1959-01-01,2000-01-01,,United States,actor
Alla Pugacheva,Alexander Stefanovich,1976-01-01,1980-01-01,,Russia,actor
Cate Blanchett,Andrew Upton,1997-01-01,,,Australia,actor
Ranbir Kapoor,Alia Bhatt,2022-04-14,,,India,actor
Olivia Wilde,Tao Ruspoli,2003-06-07,2011-09-29,divorce,Ireland,actor
Frank Lloyd,Virginia Kellogg,,http://www.wikidata.org/.well-known/genid/3cc6b68db24f9ef95b6817e3b88e386b,,United States,actor
Frank Lloyd,Virginia Kellogg,,http://www.wikidata.org/.well-known/genid/3cc6b68db24f9ef95b6817e3b88e386b,,United Kingdom,actor
Chris Cornell,Susan Silver,1990-01-01,2004-01-01,divorce,United States,musician
Albert Finney,Jane Wenham,1957-01-01,1961-01-01,,United Kingdom,actor
Rod Steiger,Joan Benedict Steiger,2000-01-01,2002-07-09,death of subject,United States,actor
Mandy Patinkin,Kathryn Grody,1980-01-01,,,United States,actor
Mary Tyler Moore,Grant Tinker,1962-01-01,1981-01-01,,United States,actor
Elizabeth Cady Stanton,Henry Brewster Stanton,1840-05-01,1887-01-14,,United States,actor
Timothy Leary,Rosemary Woodruff Leary,1967-01-01,1976-01-01,divorce,United States,actor
Ginger Rogers,Jack Pepper,1929-01-01,1931-01-01,,United States,actor
Glynis Johns,Anthony Forwood,1942-08-29,1948-01-01,,United Kingdom,actor
Glynis Johns,Anthony Forwood,1942-08-29,1948-01-01,,United Kingdom,musician
Broderick Crawford,Joan Tabor,1962-01-01,1967-01-01,,United States,actor
Ingmar Bergman,Ellen Bergman,1945-07-22,1950-01-01,,Sweden,actor
Leslie Caron,Geordie Hormel,1951-01-01,1954-01-01,,France,actor
Keira Knightley,James Righton,2013-05-04,,,United Kingdom,actor
Patrick Stewart,Wendy Neuss,2000-08-25,2003-01-01,divorce,United Kingdom,actor
Victoria Silvstedt,Chris Wragge,2000-06-10,2007-01-01,,Sweden,actor
Jon Voight,Lauri Peters,1962-01-01,1967-01-01,,United States,actor
Hedy Lamarr,Gene Markey,1939-01-01,1941-01-01,,United States,actor
Hedy Lamarr,Gene Markey,1939-01-01,1941-01-01,,United States,musician
James Mason,Clarissa Kaye,1971-01-01,1984-01-01,,United Kingdom of Great Britain and Ireland,actor
Glynis Johns,David Foster,1952-02-01,1956-05-17,,United Kingdom,actor
Glynis Johns,David Foster,1952-02-01,1956-05-17,,United Kingdom,musician
Ian McShane,Gwen Humble,1980-01-01,,,United Kingdom,actor
Mickey Rooney,Elaine Devry,1952-11-18,1958-05-18,,United States,actor
Marc Anthony,Shannon de Lima,2014-11-11,2017-02-13,divorce,United States,actor
Christopher Walken,Georgianne Walken,1969-01-01,,,United States,actor
Vajiravudh,Indrasakdi Sachi,1922-01-12,1925-11-25,death of subject,Siam,actor
Vajiravudh,Suvadhana,1924-08-10,1925-11-25,death of subject,Siam,actor
Mary Astor,Kenneth Hawks,1928-02-23,1930-01-01,,United States,actor
Anna Nicole Smith,Howard K. Stern,,,,United States,actor
Anna Nicole Smith,Howard K. Stern,,,,United States,musician
Scarlett Johansson,Colin Jost,2020-01-01,,,United States,actor
Maureen O'Hara,"Charles F. Blair, Jr.",1968-01-01,1978-01-01,,United States,actor
Selena يارا,Chris Pérez,1992-04-02,1995-03-31,death of subject,United States,actor
Zsa Zsa Gabor,Herbert Hutner,1962-11-05,1966-03-03,,Austria–Hungary,actor
Bob Fosse,Joan McCracken,1952-12-01,1959-01-01,divorce,United States,actor
Debra Messing,Daniel Zelman,2000-09-03,2016-03-01,divorce,United States,actor
Joan Fontaine,Collier Young,1952-11-12,1961-01-01,,United States,actor
Joan Fontaine,Collier Young,1952-11-12,1961-01-01,,United Kingdom,actor
Mira Sorvino,Christopher Backus,2004-06-11,,,United States,actor
Mira Sorvino,Christopher Backus,2004-06-11,,,United States,musician
Lionel Barrymore,Doris Rankin,1904-01-01,1923-01-01,,United States,actor
Lionel Barrymore,Doris Rankin,1904-01-01,1923-01-01,,United States,musician
Glynis Johns,Elliott Arnold,1964-10-10,1973-06-21,,United Kingdom,actor
Glynis Johns,Elliott Arnold,1964-10-10,1973-06-21,,United Kingdom,musician
Twiggy,Leigh Lawson,1988-01-01,,,United Kingdom,actor
Steve Wozniak,Candice Clark,1981-07-01,1987-01-01,,Serbia,actor
Goldie Hawn,Gus Trikonis,1969-01-01,1976-01-01,divorce,United States,musician
Elia Kazan,Frances Kazan,1982-01-01,2003-01-01,,Greece,actor
Zsa Zsa Gabor,Herbert Hutner,1962-11-05,1966-03-03,,United States,actor
Alfred Molina,Jennifer Lee,2021-08-01,,,United States,actor
Steve Wozniak,Candice Clark,1981-07-01,1987-01-01,,United States,actor
Alfred Molina,Jennifer Lee,2021-08-01,,,United Kingdom,actor
Juhi Chawla,Jay Mehta,1995-01-01,,,India,actor
Steve Buscemi,Jo Andres,1987-01-01,2019-01-06,death of subject's spouse,United States,actor
Hedy Lamarr,Gene Markey,1939-01-01,1941-01-01,,Austria,actor
Hedy Lamarr,Gene Markey,1939-01-01,1941-01-01,,Austria,musician
Alan Alda,Arlene Alda,1957-01-01,,,United States,actor
Blake Edwards,Patricia Walker,1953-01-01,1967-01-01,divorce,United States,actor
Judy Holliday,David Oppenheim,,1957-01-01,,United States,actor
Maureen O'Hara,"Charles F. Blair, Jr.",1968-01-01,1978-01-01,,Ireland,actor
Lucille Ball,Gary Morton,1961-11-19,1989-04-26,death of subject,United States,actor
Gregory Peck,Greta Kukkonen,1942-10-04,1955-12-30,,United States,actor
Paulo Coelho,Christina Oiticica,1980-01-01,,,Brazil,actor
Vajiravudh,Laksamilawan,1921-09-08,1925-11-25,death of subject,Siam,actor
Richard Harris,Elizabeth Harris Aitken,1957-02-09,1969-01-01,divorce,Ireland,actor
Richard Harris,Elizabeth Harris Aitken,1957-02-09,1969-01-01,divorce,Ireland,musician
John Turturro,Katherine Borowitz,1985-01-01,,,United States,actor
Anthony Hopkins,Stella Arroyave,2003-01-01,,,United States,actor
Anthony Hopkins,Stella Arroyave,2003-01-01,,,United Kingdom,actor
James Earl Jones,Julienne Marie,1968-01-01,1972-01-01,divorce,United States,actor
Mike Huckabee,Janet Huckabee,1974-05-25,,,United States,musician
Rex Harrison,Elizabeth Harris Aitken,1971-08-26,1975-01-01,divorce,United Kingdom,actor
Susan Hayward,Jess Barker,1944-01-01,1954-01-01,,United States,actor
Francis Ford Coppola,Eleanor Coppola,1963-01-01,2024-01-01,death of subject's spouse,United States,actor
Howard Hawks,Athole Shearer,1928-03-30,1940-01-01,,United States,actor
Werner Herzog,Lena Herzog,1999-01-01,,,Germany,actor
Milo Ventimiglia,Jarah Mariano,2023-01-01,,,United States,actor
Cecil B. DeMille,Constance Adams DeMille,1902-01-01,1959-01-01,,United States,actor
Ingmar Bergman,Ingrid von Rosen,1971-11-11,1995-05-20,,Sweden,actor
Steve Wozniak,Candice Clark,1981-07-01,1987-01-01,,Poland,actor
Fredric March,Ellis Baker,,,,United States,actor
Víctor Jara,Joan Jara,1960-01-01,1973-01-01,,Chile,actor
Víctor Jara,Joan Jara,1960-01-01,1973-01-01,,Chile,musician
Karen Black,L. M. Kit Carson,1975-01-01,1983-01-01,,United States,actor
Bella Akhmadulina,Eldar Kuliev,,,,Russia,actor
Mickey Rooney,Jan Rooney,1978-07-28,2014-04-06,,United States,actor
Kristin Scott Thomas,John Micklethwait,2024-09-01,,,United Kingdom,actor
L. Ron Hubbard,Margaret Grubb,1933-04-13,1947-12-24,divorce,United States,musician
John Turturro,Katherine Borowitz,1985-01-01,,,Italy,actor
Sean Bean,Melanie Hill,1990-02-27,1997-08-01,divorce,United Kingdom,actor
Sigourney Weaver,Jim Simpson,1984-10-01,,,United States,actor
Sonja Henie,Dan Topping,1940-07-04,1946-01-01,,United States,actor
John Barrymore,Elaine Barrie,1936-01-01,1940-01-01,,United States,actor
Sonja Henie,Dan Topping,1940-07-04,1946-01-01,,Norway,actor
Måns Zelmerlöw,Ciara Janson,2019-01-01,2025-01-01,,Sweden,actor
Kristin Scott Thomas,John Micklethwait,2024-09-01,,,France,actor
Janet Jackson,James DeBarge,1984-01-01,1985-01-01,annulment,United States,actor
Bing Crosby,Dixie Lee,1930-01-01,1952-01-01,,United States,actor
Jean-Claude Van Damme,Gladys Portugues,1999-01-01,,,Belgium,actor
Paul Robeson,Eslanda Goode Robeson,1921-08-17,1965-12-13,death of subject's spouse,United States,actor
Christopher Plummer,Elaine Taylor,1970-10-02,2021-02-05,death of subject,Canada,actor
Don Cheadle,Bridgid Coulter,2020-01-01,,,United States,actor
Chow Yun-fat,Candice Yu,1983-01-01,1984-01-01,,People's Republic of China,actor
Richard Dreyfuss,Jeramie Rain,1983-01-01,1995-01-01,,United States,actor
Bella Akhmadulina,Eldar Kuliev,,,,Soviet Union,actor
James Mason,Clarissa Kaye,1971-01-01,1984-01-01,,United Kingdom,actor
Nick Cave,Susie Bick,1999-08-11,,,Australia,actor
Nick Cave,Susie Bick,1999-08-11,,,Australia,musician
Rosalind Russell,Frederick Brisson,1941-01-01,1976-01-01,death of subject,United States,actor
Q102711,Brooke Hayward,1961-08-09,1969-01-01,,United States,actor
Norman Mailer,Jeanne Campbell,1962-05-04,1963-12-16,,United States,actor
Peter Bogdanovich,Polly Platt,1962-06-01,1971-01-01,,United States,actor
John Legend,Chrissy Teigen,2013-01-01,,,United States,actor
Gene Kelly,Jeanne Coyne,1960-01-01,1973-05-10,death of subject's spouse,United States,actor
Sarah Bernhardt,Jacques Damala,1882-01-01,1889-01-01,,France,actor
Jessica Simpson,Eric Johnson,2014-01-01,2025-01-01,divorce,United States,actor
Aki Kaurismäki,Paula Oinonen,,,,Finland,actor
Mark Knopfler,Kitty Aldridge,1997-02-14,,,United Kingdom,musician
Doris Day,George William Weidler,1946-03-30,1949-05-31,,United States,actor
Elia Kazan,Frances Kazan,1982-01-01,2003-01-01,,United States,actor
Greer Garson,Buddy Fogelson,1949-01-01,1987-01-01,,United Kingdom,actor
Ben Kingsley,Daniela Lavender,2007-09-03,,,United Kingdom,actor
Howard Hawks,Dee Hartford,1953-02-20,1960-01-01,,United States,actor
Tom Wilkinson,Diana Hardcastle,1988-01-05,2023-12-30,death of subject,United Kingdom,actor
John Wayne,Josephine Wayne,1933-06-24,1945-12-25,,United States,actor
Sakis Rouvas,Katia Zygouli,2017-07-03,,,Greece,actor
Bruno Mars,Natalie,2011-01-01,2024-01-01,,United States,musician
David Hasselhoff,Catherine Hickland,1984-01-01,1989-01-01,,United States,actor
Bob Dylan,Carolyn Dennis,1986-06-04,1992-10-01,,United States,actor
Bob Dylan,Carolyn Dennis,1986-06-04,1992-10-01,,United States,musician
Donna Summer,Bruce Sudano,1980-07-16,2012-05-17,death of subject,United States,actor
Donna Summer,Bruce Sudano,1980-07-16,2012-05-17,death of subject,United States,musician
Steven Soderbergh,Jules Asner,2003-05-10,,,United States,actor
Mickey Rooney,Betty Jane Rase,1944-09-30,1949-06-03,,United States,actor
Rex Harrison,Elizabeth Harris Aitken,1971-08-26,1975-01-01,divorce,United Kingdom of Great Britain and Ireland,actor
Slavoj Žižek,Renata Salecl,,,,Slovenia,actor
Q220584,Georganne LaPiere,1984-01-01,1988-01-01,divorce,United States,actor
Norodom Sihanouk,Norodom Monineath,1952-04-12,2012-10-15,,Cambodia,actor
Norodom Sihanouk,Norodom Monineath,1952-04-12,2012-10-15,,Cambodia,musician
Glenn Close,David Evans Shaw,2006-01-01,,,United States,actor
Shirley Temple,Charles Alden Black,1950-12-16,2005-08-04,death of subject's spouse,United States,actor
Jean-Claude Van Damme,Gladys Portugues,1987-01-01,1992-01-01,divorce,Belgium,actor
Twiggy,Michael Witney,1977-01-01,1983-01-01,,United Kingdom,actor
Mary Astor,Kenneth Hawks,1928-01-01,1930-01-01,,United States,actor
Clark Gable,Josephine Dillon,1924-12-18,1930-01-01,divorce,United States,actor
Talia Shire,Jack Schwartzman,1980-01-01,1994-01-01,,United States,actor
Leslie Caron,Geordie Hormel,1951-01-01,1954-01-01,,United States,actor
Stan Laurel,Lois Neilson,1926-08-13,1934-10-11,divorce,United Kingdom,actor
Rock Hudson,Phyllis Gates,1955-01-01,1958-01-01,,United States,actor
Edyta Górniak,Dariusz Krupa,,,,Poland,actor
Richard Burton,Sybil Christopher,1949-02-05,1963-12-05,,United Kingdom,actor
Jean Reno,Zofia Borucka,2006-07-29,,,Spain,actor
Rajinikanth,Latha Rajinikanth,1981-01-01,,,India,actor
Ian McShane,Suzan Farmer,1965-01-01,1968-01-01,,United Kingdom,actor
John Belushi,Judith Belushi Pisano,1976-12-31,1982-03-05,death,United States,musician
Judy Garland,Mickey Deans,1969-03-15,1969-06-22,death of subject,United States,actor
Peter Finch,Tamara Tchinarova,1943-01-01,1959-01-01,,United Kingdom of Great Britain and Ireland,actor
Pelé,Assíria Nascimento,1994-04-30,2008-01-01,,Brazil,actor
Omm Kalthum,Q11099183,,,,Kingdom of Egypt,actor
Vajiravudh,Sucharit Suda,1921-10-27,1925-11-25,death of subject,Siam,actor
Rekhā,Vinod Mehra,,,,India,actor
Rekhā,Vinod Mehra,,,,India,musician
Mark Ruffalo,Sunrise Coigney,2000-06-11,,,United States,actor
Salman Rushdie,Marianne Wiggins,1988-01-01,1993-01-01,,India,actor
Norodom Sihanouk,Mam Manivan Phanivong,,,,Cambodia,actor
Norodom Sihanouk,Mam Manivan Phanivong,,,,Cambodia,musician
Q5608,Kim Scott,2006-01-14,2001-10-05,divorce,United States,actor
James Mason,Pamela Mason,1941-01-01,1964-01-01,,United Kingdom of Great Britain and Ireland,actor
Elia Kazan,Molly Kazan,1932-01-01,1963-01-01,,United States,actor
Jim Belushi,Marjorie Bransfield,1990-01-01,1992-01-01,divorce,United States,actor
Emily Deschanel,David Hornsby,2010-01-01,,,United States,actor
Jim Belushi,Marjorie Bransfield,,,,United States,actor
P. Ramlee,Junaidah Haris,1950-01-01,1955-01-01,,Malaysia,actor
Angela Lansbury,Richard Cromwell,1945-09-27,1946-01-01,divorce,Ireland,actor
Jean Reno,Zofia Borucka,2006-07-29,,,France,actor
Mary Elizabeth Winstead,Riley Stearns,2010-10-09,2017-01-01,,United States,actor
George Lucas,Mellody Hobson,2013-06-22,,,United States,actor
Mikhail Baryshnikov,Lisa Rinehart,2006-01-01,,,United States,actor
Su Shi,Wang Zhaoyun,,,,Northern Song dynasty,musician
Mikhail Baryshnikov,Lisa Rinehart,2006-01-01,,,Latvia,actor
Rishi Kapoor,Neetu Singh,1980-01-22,2020-04-30,,India,actor
Miloš Forman,Věra Křesadlová,1964-01-01,1999-01-01,divorce,Czechoslovakia,actor
Johnny Cash,Vivian Liberto,1954-08-07,1966-01-01,,United States,actor
Donnie Yen,Cissy Wang,2003-01-01,,,United States,actor
Burt Bacharach,Paula Stewart,1953-01-01,1958-01-01,,United States,musician
Donnie Yen,Cissy Wang,2003-01-01,,,British Hong Kong,actor
Nicolas Cage,Alice Kim Cage,2004-07-30,2016-01-01,divorce,United States,actor
Larry King,Shawn Southwick,1997-01-01,2021-01-23,death of subject,United States,actor
Q5608,Kim Scott,1999-06-14,2001-10-05,divorce,United States,actor
Ernest Borgnine,Tova Traesnaes,1973-02-24,2012-07-08,death of subject,United States,actor
Melissa Joan Hart,Mark Wilkerson,2003-07-19,,,United States,actor
Joan Collins,Ron Kass,1972-01-01,1983-01-01,,United Kingdom,actor
Prince,Mayte Garcia,1996-02-14,2000-05-01,,United States,actor
Mary Astor,Manuel del Campo,1936-01-01,1941-01-01,,United States,actor
Eddie Murphy,Tracey Edmonds,,,,United States,actor
Deborah Kerr,Tony Bartley,1945-11-29,1959-01-01,,United Kingdom,actor
Howard Hawks,Slim Keith,1941-12-10,1949-01-01,,United States,actor
Q26372,Mikiko Kitano,1983-01-01,2019-01-01,divorce,Japan,actor
Christine Baranski,Matthew Cowles,1983-10-15,2014-05-22,death of subject's spouse,United States,actor
Vincent Price,Mary Grant Price,1949-08-25,1973-01-01,divorce,United States,actor
Amr Diab,Shereen Reda,1989-01-01,1992-01-01,,Egypt,actor
Dustin Hoffman,Lisa Hoffman,1980-01-01,,,United States,actor
Giovanni Ribisi,Mariah O'Brien,1997-01-01,2001-01-01,,United States,actor
Sharon Stone,Michael Greenburg,1984-01-01,1990-01-01,,United States,actor
Q5608,Kim Scott,2006-01-14,2006-12-19,divorce,United States,actor
Miloš Forman,Martina Formanová,1999-11-28,2018-04-13,death of subject,Czechoslovakia,actor
Zhang Ziyi,Wang Feng,2015-01-01,,,People's Republic of China,actor
L. Ron Hubbard,Sara Northrup Hollister,1946-08-10,1951-06-01,divorce,United States,musician
Gary Cooper,Veronica Cooper,1933-12-15,1961-05-13,,United States,actor
Warner Baxter,Winifred Bryson,,,,United States,actor
Alec Guinness,Merula Salaman,1938-06-20,2000-08-05,,United Kingdom,actor
Siti Nurhaliza,Khalid Mohamad Jiwa,,,,Malaysia,actor
Ethel Merman,Robert Six,1953-01-01,1960-01-01,,United States,actor
L. Frank Baum,Maud Gage Baum,1882-01-01,1919-01-01,,United States,actor
Richard Burton,Sybil Christopher,1949-02-01,1963-12-05,,United Kingdom,actor
America Ferrera,Ryan Piers Williams,2011-01-01,,,United States,actor
P. Ramlee,Saloma,1961-01-01,1973-01-01,,Malaysia,actor
Bette Davis,William Grant Sherry,1945-01-01,1950-01-01,,United States,actor
Bette Davis,William Grant Sherry,1945-01-01,1950-01-01,,United States,musician
Ben Gazzara,Louise Erickson,1951-01-01,1957-01-01,,United States,actor
Sam Shepard,O-Lan Jones,1969-01-01,1984-01-01,,United States,actor
Sam Shepard,O-Lan Jones,1969-01-01,1984-01-01,,United States,musician
Jim Belushi,Marjorie Bransfield,1990-01-01,1992-01-01,divorce,Albania,actor
Michelle Williams,Thomas Kail,2020-01-01,,,United States,actor
Jim Belushi,Marjorie Bransfield,,,,Albania,actor
Andy Serkis,Lorraine Ashbourne,2002-07-22,,,United Kingdom,actor
Q5608,Kim Scott,1999-06-14,2006-12-19,divorce,United States,actor
Anthony Hopkins,Petronella Barker,1966-01-01,1972-01-01,divorce,United States,actor
Anthony Hopkins,Petronella Barker,1966-01-01,1972-01-01,divorce,United Kingdom,actor
Richard Burton,Sybil Christopher,1949-02-05,1963-12-05,,United Kingdom of Great Britain and Ireland,actor
Eric Idle,Lyn Ashley,1969-01-01,1975-01-01,divorce,United Kingdom,actor
Asghar Farhadi,Parisa Bakhtavar,,,,Iran,actor
Martin Short,Nancy Dolman,1980-01-01,2010-01-01,,United States,actor
Ashley Greene,Paul Khoury,2018-07-06,,,United States,actor
Elia Kazan,Molly Kazan,1932-01-01,1963-01-01,,Greece,actor
Shirley Jones,Marty Ingels,1977-01-01,2015-01-01,death of subject's spouse,United States,actor
Shirley Jones,Marty Ingels,1977-01-01,2015-01-01,death of subject's spouse,United States,musician
Peter Finch,Tamara Tchinarova,1943-01-01,1959-01-01,,United Kingdom,actor
Claire Trevor,Milton H. Bren,1948-01-01,1979-01-01,,United States,actor
Tony Bennett,Sandra Grant Bennett,1971-01-01,1983-01-01,divorce,United States,actor
Mikhail Baryshnikov,Lisa Rinehart,2006-01-01,,,Soviet Union,actor
Juliette Lewis,Steve Berra,1999-01-01,2003-01-01,,United States,actor
Kenny Rogers,Marianne Gordon,1977-10-01,1993-01-01,,United States,actor
James Mason,Pamela Mason,1941-01-01,1964-01-01,,United Kingdom,actor
Shaquille O'Neal,Shaunie O'Neal,2002-12-26,2009-11-10,,United States,actor
Peter Finch,Tamara Tchinarova,1943-01-01,1959-01-01,,Australia,actor
Douglas Fairbanks,Sylvia Ashley,1936-03-07,1939-12-12,death of subject,United States,actor
Janet Jackson,René Elizondo Jr.,1991-01-01,2003-01-01,divorce,United States,actor
Gloria Grahame,Stanley Clements,1945-01-01,1948-01-01,,United States,actor
Sharon Stone,Phil Bronstein,1998-01-01,2004-01-01,,United States,actor
John Wayne,Pilar Pallete,1954-11-01,1979-01-01,,United States,actor
Michelle Williams,Phil Elverum,2018-01-01,2019-01-01,,United States,actor
Martin Short,Nancy Dolman,1980-01-01,2010-01-01,,Canada,actor
Kamal Haasan,Vani Ganapathy,1978-01-01,1988-01-01,divorce,India,actor
Omm Kalthum,Q11099183,,,,United Arab Republic,actor
Gregory Peck,Veronique Peck,1955-12-31,2003-06-12,,United States,actor
Liza Minnelli,David Gest,2002-03-16,2007-04-01,divorce,United States,actor
Miloš Forman,Věra Křesadlová,1964-01-01,1999-01-01,divorce,United States,actor
Salman Rushdie,Marianne Wiggins,1988-01-01,1993-01-01,,United States,actor
Salman Rushdie,Marianne Wiggins,1988-01-01,1993-01-01,,United Kingdom,actor
Antonio Banderas,Ana Leza,1987-07-27,1996-04-01,,Spain,actor
Magnús Scheving,Ragnheiður Melsteð,,,,Iceland,actor
Magnús Scheving,Ragnheiður Melsteð,,,,Iceland,athlete
Miloš Forman,Věra Křesadlová,1964-01-01,1999-01-01,divorce,Czech Republic,actor
J. K. Simmons,Michelle Schumacher,1996-01-01,,,United States,actor
Cindy Crawford,Rande Gerber,1998-01-01,,,United States,actor
Henry Fonda,Frances Ford Seymour,1936-09-16,1950-01-01,death of subject's spouse,United States,actor
Omm Kalthum,Q11099183,,,,Republic of Egypt,actor
Leslie Nielsen,Monica Boyar,1950-01-01,1956-01-01,,United States,actor
Leonard Nimoy,Susan Bay,1989-01-01,2015-02-27,,United States,actor
Leonard Nimoy,Susan Bay,1989-01-01,2015-02-27,,United States,musician
Karen Black,Stephen Eckelberry,1987-01-01,2013-01-01,,United States,actor
Diana Rigg,Menachem Gueffen,1973-01-01,1976-01-01,,United Kingdom,actor
Sam Worthington,Lara Worthington,2014-01-01,,,United Kingdom,actor
Bela Lugosi,Ilona Montagh,1921-09-01,1925-02-13,divorce,Hungary,actor
Björk,Eldon Jónsson,1986-01-01,1987-01-01,,Iceland,actor
Henry Fonda,Susan Blanchard,1950-12-27,1956-01-01,,United States,actor
Bela Lugosi,Ilona Montagh,1921-09-01,1925-02-13,divorce,United States,actor
Vera Farmiga,Renn Hawkey,2008-01-01,,,United States,actor
Miloš Forman,Martina Formanová,1999-11-28,2018-04-13,death of subject,United States,actor
Sam Worthington,Lara Worthington,2014-01-01,,,Australia,actor
Peter Sellers,"Miranda, Countess of Stockton",1970-08-24,1976-01-01,divorce,United Kingdom,actor
Richard Burton,Sybil Christopher,1949-02-01,1963-12-05,,United Kingdom of Great Britain and Ireland,actor
Miloš Forman,Martina Formanová,1999-11-28,2018-04-13,death of subject,Czech Republic,actor
Mary Astor,Manuel del Campo,1937-01-01,1941-01-01,,United States,actor
Shilpa Shetty,Raj Kundra,2009-11-22,,,India,actor
Stefán Karl Stefánsson,Steinunn Ólína Þorsteinsdóttir,2002-12-29,2018-08-21,death of subject,Iceland,actor
Jay Leno,Mavis Leno,1980-11-30,,,United States,actor
Clark Gable,Sylvia Ashley,1949-12-20,1952-01-01,divorce,United States,actor
Denzel Washington,Pauletta Pearson Washington,1983-01-01,,,United States,actor
Leslie Nielsen,Monica Boyar,1950-01-01,1956-01-01,,Canada,actor
Bryan Ferry,Lucy Helmore,1982-06-26,,,United Kingdom,actor
Bryan Ferry,Lucy Helmore,1982-06-26,,,United Kingdom,musician
Yair Lapid,Lihi Lapid,,,,Israel,actor
Angela Lansbury,Richard Cromwell,1945-09-27,1946-01-01,divorce,United States,actor
Donnie Yen,Cissy Wang,2003-01-01,,,People's Republic of China,actor
Buddy Holly,María Elena Holly,1958-01-01,1959-01-01,death of subject,United States,musician
Angela Lansbury,Richard Cromwell,1945-09-27,1946-01-01,divorce,United Kingdom,actor
Boris Vian,Michelle Vian,1941-07-05,1952-01-01,,France,actor
Boris Vian,Michelle Vian,1941-07-05,1952-01-01,,France,musician
Matti Nykänen,Mervi Tapola,2001-01-01,2003-01-01,,Finland,athlete
William Herschel,Mary Baldwin,1788-01-01,,,Kingdom of Hanover,musician
Tina Turner,Erwin Bach,2013-07-01,2023-05-24,death of subject,Switzerland,actor
Tina Turner,Erwin Bach,2013-07-01,2023-05-24,death of subject,Switzerland,musician
George Clooney,Amal Clooney,2014-09-27,,,France,actor
Carole Bouquet,Jacques Leibowitch,1992-01-01,1996-01-01,divorce,France,actor
David Niven,Primula Rollo,1940-09-01,1946-05-21,,United Kingdom,actor
William Shatner,Gloria Rand,1956-08-12,1969-03-04,,Canada,actor
John Denver,Cassandra Delaney,1988-08-12,1993-01-01,,United States,actor
